Id_caso;año;ubigeo_hecho;fecha_denuncia;desc_delito_generico;desc_delito_subgenerico;desc_delito_especifico;cantidad_partes_involucras;cantidad_x_tipo_parte;codigo_etapa_caso;descripcion_etapa_caso;descripcion_estado_caso;canal_denuncia;CC.EST;NY.GDP.MKTP.KD;NY.GDP.NGAS.RT.ZS;NY.GDP.PETR.RT.ZS;NY.GDP.MINR.RT.ZS;GC.TAX.TOTL.GD.ZS;PV.EST;RQ.EST;GE.EST;RL.EST;delincuencia;Departamento;NSE
12;2019;0101;5/31/2019;2;2;2;2;7;2;3;3;2;-,78;224673174862,542;,32;,3;13,15;17,3;-,54;,31;-,5;-,56;27,6;1;3
13;2022;2501;3/29/2022;1;1;9;2;10;3;1;1;1;-,81;223002152647,317;,28;,26;12,15;16,74;-,49;,21;-,4;-,55;22,9;25;1
14;2020;1401;11/24/2020;2;2;12;5;7;1;2;1;1;-,52;191509018299,917;,18;,1;3,56;13,22;-,36;,47;-,29;-,38;18,2;14;1
15;2022;0401;3/21/2022;2;2;15;1;8;3;1;1;2;-,81;223002152647,317;,28;,26;12,15;16,74;-,49;,21;-,4;-,55;22,9;4;3
16;2023;1701;9/7/2023;2;2;5;2;3;3;1;2;4;-,72;221775234260,737;,3;,28;13,1;17,24;-,52;,29;-,49;-,54;27,1;17;5
17;2021;2501;4/4/2021;1;1;10;4;8;2;3;1;1;-,65;217085487224,893;,26;,25;12,1;15,92;-,36;,06;-,3;-,53;18,2;25;3
18;2019;2201;3/22/2019;2;2;3;3;4;3;1;1;4;-,78;224673174862,542;,32;,3;13,15;17,3;-,54;,31;-,5;-,56;27,6;22;5
19;2021;2001;2/23/2021;2;2;1;2;4;1;2;3;1;-,65;217085487224,893;,26;,25;12,1;15,92;-,36;,06;-,3;-,53;18,2;20;1
20;2023;1201;6/14/2023;2;2;7;2;4;1;2;1;1;-,72;221775234260,737;,3;,28;13,1;17,24;-,52;,29;-,49;-,54;27,1;12;3
21;2021;1901;10/26/2021;2;2;1;4;2;2;3;3;2;-,65;217085487224,893;,26;,25;12,1;15,92;-,36;,06;-,3;-,53;18,2;19;4
22;2022;1101;11/22/2022;2;2;7;2;7;3;1;3;3;-,81;223002152647,317;,28;,26;12,15;16,74;-,49;,21;-,4;-,55;22,9;11;5
23;2023;1505;10/30/2023;2;2;11;4;6;1;2;2;2;-,72;221775234260,737;,3;,28;13,1;17,24;-,52;,29;-,49;-,54;27,1;15;4
24;2023;1505;1/30/2023;2;2;2;3;5;3;1;2;4;-,72;221775234260,737;,3;,28;13,1;17,24;-,52;,29;-,49;-,54;27,1;15;1
25;2023;2101;9/18/2023;2;2;14;5;2;2;3;2;3;-,72;221775234260,737;,3;,28;13,1;17,24;-,52;,29;-,49;-,54;27,1;21;5
26;2022;0401;8/29/2022;2;2;11;3;5;1;2;2;2;-,81;223002152647,317;,28;,26;12,15;16,74;-,49;,21;-,4;-,55;22,9;4;1
27;2022;1001;11/10/2022;2;2;12;3;8;1;2;1;1;-,81;223002152647,317;,28;,26;12,15;16,74;-,49;,21;-,4;-,55;22,9;10;4
28;2021;0501;11/27/2021;2;2;13;5;4;1;2;3;1;-,65;217085487224,893;,26;,25;12,1;15,92;-,36;,06;-,3;-,53;18,2;5;4
29;2023;1101;5/1/2023;2;2;1;4;6;2;3;3;4;-,72;221775234260,737;,3;,28;13,1;17,24;-,52;,29;-,49;-,54;27,1;11;4
30;2022;0301;6/18/2022;2;2;11;3;3;2;3;2;1;-,81;223002152647,317;,28;,26;12,15;16,74;-,49;,21;-,4;-,55;22,9;3;5
31;2020;0801;8/11/2020;2;2;15;5;4;3;1;1;4;-,52;191509018299,917;,18;,1;3,56;13,22;-,36;,47;-,29;-,38;18,2;8;2
32;2022;2001;11/8/2022;2;2;5;4;9;3;1;2;2;-,81;223002152647,317;,28;,26;12,15;16,74;-,49;,21;-,4;-,55;22,9;20;1
33;2020;0301;12/23/2020;2;2;6;1;9;1;2;1;3;-,52;191509018299,917;,18;,1;3,56;13,22;-,36;,47;-,29;-,38;18,2;3;4
34;2021;0201;2/3/2021;2;2;7;3;4;2;3;1;2;-,65;217085487224,893;,26;,25;12,1;15,92;-,36;,06;-,3;-,53;18,2;2;2
35;2022;0601;8/2/2022;2;2;3;5;5;2;3;3;1;-,81;223002152647,317;,28;,26;12,15;16,74;-,49;,21;-,4;-,55;22,9;6;2
36;2022;2501;2/12/2022;2;2;15;1;8;1;2;1;4;-,81;223002152647,317;,28;,26;12,15;16,74;-,49;,21;-,4;-,55;22,9;25;2
37;2021;1401;8/12/2021;2;2;12;4;6;2;3;2;2;-,65;217085487224,893;,26;,25;12,1;15,92;-,36;,06;-,3;-,53;18,2;14;5
38;2023;1001;10/5/2023;2;2;12;5;4;3;1;2;2;-,72;221775234260,737;,3;,28;13,1;17,24;-,52;,29;-,49;-,54;27,1;10;1
39;2022;2301;5/7/2022;2;2;8;2;4;1;2;2;4;-,81;223002152647,317;,28;,26;12,15;16,74;-,49;,21;-,4;-,55;22,9;23;4
40;2022;0801;6/11/2022;2;2;14;5;5;3;1;2;1;-,81;223002152647,317;,28;,26;12,15;16,74;-,49;,21;-,4;-,55;22,9;8;4
41;2019;0701;3/29/2019;2;2;12;3;8;2;3;2;3;-,78;224673174862,542;,32;,3;13,15;17,3;-,54;,31;-,5;-,56;27,6;7;2
42;2019;0201;3/26/2019;2;2;8;4;2;2;3;2;1;-,78;224673174862,542;,32;,3;13,15;17,3;-,54;,31;-,5;-,56;27,6;2;4
43;2023;1001;10/6/2023;2;2;15;5;5;3;1;1;3;-,72;221775234260,737;,3;,28;13,1;17,24;-,52;,29;-,49;-,54;27,1;10;5
44;2021;1101;2/5/2021;2;2;6;2;2;1;2;1;4;-,65;217085487224,893;,26;,25;12,1;15,92;-,36;,06;-,3;-,53;18,2;11;1
45;2020;1001;5/31/2020;2;2;7;3;7;2;3;3;4;-,52;191509018299,917;,18;,1;3,56;13,22;-,36;,47;-,29;-,38;18,2;10;2
46;2020;1701;12/26/2020;2;2;1;4;1;3;1;2;3;-,52;191509018299,917;,18;,1;3,56;13,22;-,36;,47;-,29;-,38;18,2;17;2
47;2021;1801;10/21/2021;2;2;15;2;1;1;2;3;2;-,65;217085487224,893;,26;,25;12,1;15,92;-,36;,06;-,3;-,53;18,2;18;1
48;2019;1505;10/2/2019;2;2;7;3;9;2;3;1;3;-,78;224673174862,542;,32;,3;13,15;17,3;-,54;,31;-,5;-,56;27,6;15;3
49;2021;0601;4/21/2021;2;2;3;2;2;1;2;2;1;-,65;217085487224,893;,26;,25;12,1;15,92;-,36;,06;-,3;-,53;18,2;6;5
50;2019;1301;3/27/2019;2;2;6;1;7;1;2;3;1;-,78;224673174862,542;,32;,3;13,15;17,3;-,54;,31;-,5;-,56;27,6;13;3
51;2023;0501;9/5/2023;2;2;12;1;9;2;3;2;3;-,72;221775234260,737;,3;,28;13,1;17,24;-,52;,29;-,49;-,54;27,1;5;3
52;2023;1505;12/18/2023;2;2;2;1;2;1;2;3;4;-,72;221775234260,737;,3;,28;13,1;17,24;-,52;,29;-,49;-,54;27,1;15;5
53;2023;1201;5/11/2023;2;2;3;1;5;2;3;1;4;-,72;221775234260,737;,3;,28;13,1;17,24;-,52;,29;-,49;-,54;27,1;12;3
54;2023;1001;1/13/2023;1;1;9;4;5;2;3;2;4;-,72;221775234260,737;,3;,28;13,1;17,24;-,52;,29;-,49;-,54;27,1;10;2
55;2020;0101;12/14/2020;2;2;2;5;9;2;3;1;1;-,52;191509018299,917;,18;,1;3,56;13,22;-,36;,47;-,29;-,38;18,2;1;5
56;2020;1101;10/26/2020;2;2;15;1;3;3;1;2;1;-,52;191509018299,917;,18;,1;3,56;13,22;-,36;,47;-,29;-,38;18,2;11;4
57;2022;0501;6/26/2022;2;2;3;2;7;2;3;1;4;-,81;223002152647,317;,28;,26;12,15;16,74;-,49;,21;-,4;-,55;22,9;5;4
58;2020;2401;1/12/2020;2;2;15;5;8;1;2;2;4;-,52;191509018299,917;,18;,1;3,56;13,22;-,36;,47;-,29;-,38;18,2;24;1
59;2019;1505;9/26/2019;2;2;13;3;8;3;1;1;3;-,78;224673174862,542;,32;,3;13,15;17,3;-,54;,31;-,5;-,56;27,6;15;2
60;2020;2101;7/30/2020;2;2;6;5;9;2;3;3;3;-,52;191509018299,917;,18;,1;3,56;13,22;-,36;,47;-,29;-,38;18,2;21;4
61;2019;2501;12/15/2019;2;2;8;1;3;1;2;2;4;-,78;224673174862,542;,32;,3;13,15;17,3;-,54;,31;-,5;-,56;27,6;25;5
62;2022;1505;7/14/2022;2;2;3;3;7;1;2;3;3;-,81;223002152647,317;,28;,26;12,15;16,74;-,49;,21;-,4;-,55;22,9;15;1
63;2020;2201;3/15/2020;2;2;15;2;8;3;1;1;3;-,52;191509018299,917;,18;,1;3,56;13,22;-,36;,47;-,29;-,38;18,2;22;1
64;2023;0601;3/23/2023;2;2;13;4;10;2;3;1;1;-,72;221775234260,737;,3;,28;13,1;17,24;-,52;,29;-,49;-,54;27,1;6;2
65;2019;0301;3/31/2019;2;2;13;5;8;3;1;3;3;-,78;224673174862,542;,32;,3;13,15;17,3;-,54;,31;-,5;-,56;27,6;3;1
66;2019;2201;7/7/2019;2;2;2;1;9;3;1;2;4;-,78;224673174862,542;,32;,3;13,15;17,3;-,54;,31;-,5;-,56;27,6;22;1
67;2019;1301;6/4/2019;2;2;2;1;7;2;3;2;3;-,78;224673174862,542;,32;,3;13,15;17,3;-,54;,31;-,5;-,56;27,6;13;1
68;2019;0101;7/28/2019;2;2;13;1;1;3;1;2;4;-,78;224673174862,542;,32;,3;13,15;17,3;-,54;,31;-,5;-,56;27,6;1;2
69;2023;2001;12/9/2023;2;2;8;5;6;3;1;1;3;-,72;221775234260,737;,3;,28;13,1;17,24;-,52;,29;-,49;-,54;27,1;20;1
70;2022;2401;2/14/2022;1;1;10;1;8;3;1;2;1;-,81;223002152647,317;,28;,26;12,15;16,74;-,49;,21;-,4;-,55;22,9;24;4
71;2022;0601;8/17/2022;2;2;4;5;7;3;1;3;3;-,81;223002152647,317;,28;,26;12,15;16,74;-,49;,21;-,4;-,55;22,9;6;3
72;2022;1401;4/21/2022;2;2;1;2;7;2;3;2;3;-,81;223002152647,317;,28;,26;12,15;16,74;-,49;,21;-,4;-,55;22,9;14;1
73;2023;1201;5/29/2023;2;2;2;2;5;3;1;2;2;-,72;221775234260,737;,3;,28;13,1;17,24;-,52;,29;-,49;-,54;27,1;12;5
74;2023;2201;2/1/2023;2;2;8;1;3;1;2;3;3;-,72;221775234260,737;,3;,28;13,1;17,24;-,52;,29;-,49;-,54;27,1;22;4
75;2021;2001;11/9/2021;2;2;7;2;9;3;1;1;2;-,65;217085487224,893;,26;,25;12,1;15,92;-,36;,06;-,3;-,53;18,2;20;3
76;2023;2001;9/26/2023;1;1;9;4;7;2;3;3;3;-,72;221775234260,737;,3;,28;13,1;17,24;-,52;,29;-,49;-,54;27,1;20;1
77;2021;0501;12/21/2021;1;1;10;4;1;1;2;1;1;-,65;217085487224,893;,26;,25;12,1;15,92;-,36;,06;-,3;-,53;18,2;5;5
78;2022;1101;4/29/2022;2;2;13;3;7;3;1;1;4;-,81;223002152647,317;,28;,26;12,15;16,74;-,49;,21;-,4;-,55;22,9;11;1
79;2020;0701;5/20/2020;2;2;2;2;10;1;2;2;1;-,52;191509018299,917;,18;,1;3,56;13,22;-,36;,47;-,29;-,38;18,2;7;3
80;2021;1801;4/15/2021;1;1;9;1;10;2;3;1;2;-,65;217085487224,893;,26;,25;12,1;15,92;-,36;,06;-,3;-,53;18,2;18;2
81;2023;2201;8/31/2023;1;1;10;2;7;2;3;2;3;-,72;221775234260,737;,3;,28;13,1;17,24;-,52;,29;-,49;-,54;27,1;22;5
82;2020;0901;6/26/2020;2;2;11;5;1;3;1;1;1;-,52;191509018299,917;,18;,1;3,56;13,22;-,36;,47;-,29;-,38;18,2;9;4
83;2019;0901;12/6/2019;2;2;15;5;2;1;2;2;2;-,78;224673174862,542;,32;,3;13,15;17,3;-,54;,31;-,5;-,56;27,6;9;4
84;2020;1001;1/27/2020;2;2;2;5;9;2;3;1;3;-,52;191509018299,917;,18;,1;3,56;13,22;-,36;,47;-,29;-,38;18,2;10;1
85;2023;0301;6/14/2023;2;2;15;4;2;1;2;3;1;-,72;221775234260,737;,3;,28;13,1;17,24;-,52;,29;-,49;-,54;27,1;3;4
86;2021;1601;4/30/2021;2;2;4;1;7;3;1;3;2;-,65;217085487224,893;,26;,25;12,1;15,92;-,36;,06;-,3;-,53;18,2;16;5
87;2019;1301;4/18/2019;2;2;1;1;3;1;2;3;4;-,78;224673174862,542;,32;,3;13,15;17,3;-,54;,31;-,5;-,56;27,6;13;5
88;2022;0801;11/8/2022;2;2;12;4;2;2;3;3;2;-,81;223002152647,317;,28;,26;12,15;16,74;-,49;,21;-,4;-,55;22,9;8;3
89;2022;0801;6/3/2022;2;2;13;1;3;1;2;1;2;-,81;223002152647,317;,28;,26;12,15;16,74;-,49;,21;-,4;-,55;22,9;8;3
90;2019;1701;4/15/2019;2;2;12;5;4;3;1;3;1;-,78;224673174862,542;,32;,3;13,15;17,3;-,54;,31;-,5;-,56;27,6;17;4
91;2019;0101;7/23/2019;2;2;3;4;1;3;1;3;4;-,78;224673174862,542;,32;,3;13,15;17,3;-,54;,31;-,5;-,56;27,6;1;3
92;2021;0801;4/8/2021;2;2;8;5;6;3;1;3;2;-,65;217085487224,893;,26;,25;12,1;15,92;-,36;,06;-,3;-,53;18,2;8;5
93;2019;1101;3/4/2019;2;2;8;4;8;1;2;3;4;-,78;224673174862,542;,32;,3;13,15;17,3;-,54;,31;-,5;-,56;27,6;11;2
94;2020;1001;1/20/2020;2;2;5;1;2;3;1;3;2;-,52;191509018299,917;,18;,1;3,56;13,22;-,36;,47;-,29;-,38;18,2;10;2
95;2020;0101;10/23/2020;1;1;10;3;5;2;3;1;2;-,52;191509018299,917;,18;,1;3,56;13,22;-,36;,47;-,29;-,38;18,2;1;5
96;2022;1505;11/15/2022;2;2;15;3;9;3;1;1;3;-,81;223002152647,317;,28;,26;12,15;16,74;-,49;,21;-,4;-,55;22,9;15;1
97;2023;1001;7/21/2023;2;2;3;2;2;2;3;1;4;-,72;221775234260,737;,3;,28;13,1;17,24;-,52;,29;-,49;-,54;27,1;10;5
98;2023;0601;8/21/2023;2;2;3;5;3;1;2;3;2;-,72;221775234260,737;,3;,28;13,1;17,24;-,52;,29;-,49;-,54;27,1;6;4
99;2022;2201;7/3/2022;2;2;11;3;10;2;3;3;4;-,81;223002152647,317;,28;,26;12,15;16,74;-,49;,21;-,4;-,55;22,9;22;3
100;2021;0701;11/28/2021;2;2;6;2;8;3;1;3;2;-,65;217085487224,893;,26;,25;12,1;15,92;-,36;,06;-,3;-,53;18,2;7;3
101;2019;1801;7/3/2019;2;2;8;5;9;3;1;1;3;-,78;224673174862,542;,32;,3;13,15;17,3;-,54;,31;-,5;-,56;27,6;18;1
102;2019;1301;4/12/2019;2;2;4;5;7;3;1;2;2;-,78;224673174862,542;,32;,3;13,15;17,3;-,54;,31;-,5;-,56;27,6;13;1
103;2021;2001;3/18/2021;2;2;14;5;6;1;2;3;4;-,65;217085487224,893;,26;,25;12,1;15,92;-,36;,06;-,3;-,53;18,2;20;3
104;2019;2301;10/27/2019;2;2;11;5;8;1;2;1;2;-,78;224673174862,542;,32;,3;13,15;17,3;-,54;,31;-,5;-,56;27,6;23;3
105;2022;1301;9/8/2022;2;2;8;5;5;3;1;3;1;-,81;223002152647,317;,28;,26;12,15;16,74;-,49;,21;-,4;-,55;22,9;13;2
106;2020;1301;10/9/2020;2;2;14;4;9;2;3;3;2;-,52;191509018299,917;,18;,1;3,56;13,22;-,36;,47;-,29;-,38;18,2;13;4
107;2021;2201;9/22/2021;2;2;3;1;7;2;3;2;1;-,65;217085487224,893;,26;,25;12,1;15,92;-,36;,06;-,3;-,53;18,2;22;2
108;2020;0701;11/4/2020;2;2;6;1;7;2;3;1;3;-,52;191509018299,917;,18;,1;3,56;13,22;-,36;,47;-,29;-,38;18,2;7;4
109;2023;1601;2/25/2023;2;2;14;3;10;1;2;3;4;-,72;221775234260,737;,3;,28;13,1;17,24;-,52;,29;-,49;-,54;27,1;16;4
110;2019;1505;1/9/2019;1;1;10;2;1;3;1;1;3;-,78;224673174862,542;,32;,3;13,15;17,3;-,54;,31;-,5;-,56;27,6;15;2
111;2023;2501;5/7/2023;2;2;6;1;8;2;3;1;1;-,72;221775234260,737;,3;,28;13,1;17,24;-,52;,29;-,49;-,54;27,1;25;2
112;2021;2201;5/4/2021;2;2;11;4;4;1;2;1;4;-,65;217085487224,893;,26;,25;12,1;15,92;-,36;,06;-,3;-,53;18,2;22;4
113;2023;1101;1/6/2023;2;2;5;2;1;1;2;1;1;-,72;221775234260,737;,3;,28;13,1;17,24;-,52;,29;-,49;-,54;27,1;11;1
114;2023;0201;4/15/2023;2;2;4;3;4;1;2;3;1;-,72;221775234260,737;,3;,28;13,1;17,24;-,52;,29;-,49;-,54;27,1;2;2
115;2019;2201;7/31/2019;2;2;11;2;6;1;2;2;3;-,78;224673174862,542;,32;,3;13,15;17,3;-,54;,31;-,5;-,56;27,6;22;5
116;2019;0601;3/27/2019;2;2;4;5;4;2;3;3;1;-,78;224673174862,542;,32;,3;13,15;17,3;-,54;,31;-,5;-,56;27,6;6;3
117;2021;0401;11/19/2021;2;2;4;4;3;1;2;1;1;-,65;217085487224,893;,26;,25;12,1;15,92;-,36;,06;-,3;-,53;18,2;4;1
118;2021;0101;5/10/2021;2;2;7;5;5;3;1;2;3;-,65;217085487224,893;,26;,25;12,1;15,92;-,36;,06;-,3;-,53;18,2;1;4
119;2020;1601;11/27/2020;2;2;1;1;7;3;1;1;4;-,52;191509018299,917;,18;,1;3,56;13,22;-,36;,47;-,29;-,38;18,2;16;4
120;2022;2401;12/15/2022;2;2;7;5;1;3;1;3;1;-,81;223002152647,317;,28;,26;12,15;16,74;-,49;,21;-,4;-,55;22,9;24;4
121;2022;2301;5/3/2022;1;1;10;4;5;2;3;1;4;-,81;223002152647,317;,28;,26;12,15;16,74;-,49;,21;-,4;-,55;22,9;23;4
122;2021;0601;7/12/2021;2;2;5;5;3;1;2;1;1;-,65;217085487224,893;,26;,25;12,1;15,92;-,36;,06;-,3;-,53;18,2;6;4
123;2019;0301;10/16/2019;2;2;4;1;9;2;3;3;2;-,78;224673174862,542;,32;,3;13,15;17,3;-,54;,31;-,5;-,56;27,6;3;4
124;2023;1101;1/30/2023;2;2;13;4;10;2;3;1;1;-,72;221775234260,737;,3;,28;13,1;17,24;-,52;,29;-,49;-,54;27,1;11;2
125;2021;1801;3/20/2021;2;2;15;5;5;1;2;1;4;-,65;217085487224,893;,26;,25;12,1;15,92;-,36;,06;-,3;-,53;18,2;18;1
126;2022;0801;5/18/2022;2;2;5;3;1;3;1;2;3;-,81;223002152647,317;,28;,26;12,15;16,74;-,49;,21;-,4;-,55;22,9;8;3
127;2020;2401;4/28/2020;2;2;4;3;1;2;3;3;3;-,52;191509018299,917;,18;,1;3,56;13,22;-,36;,47;-,29;-,38;18,2;24;2
128;2023;1001;4/16/2023;2;2;8;4;3;2;3;3;3;-,72;221775234260,737;,3;,28;13,1;17,24;-,52;,29;-,49;-,54;27,1;10;5
129;2021;0901;12/25/2021;2;2;5;5;1;3;1;3;1;-,65;217085487224,893;,26;,25;12,1;15,92;-,36;,06;-,3;-,53;18,2;9;5
130;2023;1301;1/30/2023;2;2;14;2;8;3;1;3;1;-,72;221775234260,737;,3;,28;13,1;17,24;-,52;,29;-,49;-,54;27,1;13;4
131;2019;1401;5/29/2019;2;2;3;5;4;1;2;1;2;-,78;224673174862,542;,32;,3;13,15;17,3;-,54;,31;-,5;-,56;27,6;14;2
132;2021;0601;2/18/2021;1;1;9;5;1;1;2;1;1;-,65;217085487224,893;,26;,25;12,1;15,92;-,36;,06;-,3;-,53;18,2;6;2
133;2021;0401;6/10/2021;2;2;15;4;2;3;1;2;4;-,65;217085487224,893;,26;,25;12,1;15,92;-,36;,06;-,3;-,53;18,2;4;2
134;2022;0901;9/3/2022;2;2;7;4;2;1;2;3;4;-,81;223002152647,317;,28;,26;12,15;16,74;-,49;,21;-,4;-,55;22,9;9;3
135;2019;1505;6/2/2019;2;2;12;1;7;3;1;1;1;-,78;224673174862,542;,32;,3;13,15;17,3;-,54;,31;-,5;-,56;27,6;15;2
136;2022;0401;7/6/2022;2;2;8;5;5;1;2;2;1;-,81;223002152647,317;,28;,26;12,15;16,74;-,49;,21;-,4;-,55;22,9;4;4
137;2023;1505;6/24/2023;2;2;13;1;5;3;1;3;4;-,72;221775234260,737;,3;,28;13,1;17,24;-,52;,29;-,49;-,54;27,1;15;5
138;2020;0701;9/9/2020;2;2;14;3;7;3;1;2;4;-,52;191509018299,917;,18;,1;3,56;13,22;-,36;,47;-,29;-,38;18,2;7;3
139;2019;2201;7/24/2019;2;2;8;3;5;1;2;1;2;-,78;224673174862,542;,32;,3;13,15;17,3;-,54;,31;-,5;-,56;27,6;22;3
140;2019;1301;2/16/2019;2;2;8;4;8;2;3;2;4;-,78;224673174862,542;,32;,3;13,15;17,3;-,54;,31;-,5;-,56;27,6;13;4
141;2023;2401;4/15/2023;2;2;5;5;2;3;1;1;2;-,72;221775234260,737;,3;,28;13,1;17,24;-,52;,29;-,49;-,54;27,1;24;1
142;2020;1901;5/30/2020;2;2;15;4;8;3;1;1;4;-,52;191509018299,917;,18;,1;3,56;13,22;-,36;,47;-,29;-,38;18,2;19;2
143;2021;0601;1/19/2021;1;1;10;4;10;2;3;1;4;-,65;217085487224,893;,26;,25;12,1;15,92;-,36;,06;-,3;-,53;18,2;6;2
144;2023;0301;10/12/2023;2;2;3;5;10;1;2;3;4;-,72;221775234260,737;,3;,28;13,1;17,24;-,52;,29;-,49;-,54;27,1;3;3
145;2023;0901;4/27/2023;2;2;6;5;1;2;3;3;1;-,72;221775234260,737;,3;,28;13,1;17,24;-,52;,29;-,49;-,54;27,1;9;1
146;2019;0501;2/2/2019;2;2;2;3;10;3;1;1;4;-,78;224673174862,542;,32;,3;13,15;17,3;-,54;,31;-,5;-,56;27,6;5;3
147;2019;1801;2/23/2019;2;2;8;2;4;2;3;3;2;-,78;224673174862,542;,32;,3;13,15;17,3;-,54;,31;-,5;-,56;27,6;18;4
148;2021;2001;4/17/2021;2;2;5;2;2;2;3;3;2;-,65;217085487224,893;,26;,25;12,1;15,92;-,36;,06;-,3;-,53;18,2;20;4
149;2023;0601;3/6/2023;2;2;13;1;4;2;3;3;2;-,72;221775234260,737;,3;,28;13,1;17,24;-,52;,29;-,49;-,54;27,1;6;1
150;2019;2101;10/2/2019;1;1;10;5;8;2;3;2;4;-,78;224673174862,542;,32;,3;13,15;17,3;-,54;,31;-,5;-,56;27,6;21;4
151;2020;1601;7/2/2020;2;2;2;3;8;3;1;1;2;-,52;191509018299,917;,18;,1;3,56;13,22;-,36;,47;-,29;-,38;18,2;16;4
152;2023;0601;2/28/2023;2;2;11;5;2;3;1;3;4;-,72;221775234260,737;,3;,28;13,1;17,24;-,52;,29;-,49;-,54;27,1;6;4
153;2019;1001;1/7/2019;1;1;10;1;4;1;2;2;1;-,78;224673174862,542;,32;,3;13,15;17,3;-,54;,31;-,5;-,56;27,6;10;5
154;2022;2101;11/30/2022;2;2;2;3;1;3;1;1;2;-,81;223002152647,317;,28;,26;12,15;16,74;-,49;,21;-,4;-,55;22,9;21;2
155;2019;2101;4/1/2019;2;2;6;1;5;3;1;2;1;-,78;224673174862,542;,32;,3;13,15;17,3;-,54;,31;-,5;-,56;27,6;21;3
156;2022;2401;7/9/2022;2;2;7;4;7;1;2;2;4;-,81;223002152647,317;,28;,26;12,15;16,74;-,49;,21;-,4;-,55;22,9;24;4
157;2022;2201;8/18/2022;2;2;11;1;3;1;2;2;2;-,81;223002152647,317;,28;,26;12,15;16,74;-,49;,21;-,4;-,55;22,9;22;3
158;2022;0501;5/27/2022;1;1;10;2;3;2;3;2;2;-,81;223002152647,317;,28;,26;12,15;16,74;-,49;,21;-,4;-,55;22,9;5;1
159;2020;1505;7/30/2020;2;2;12;2;2;1;2;3;3;-,52;191509018299,917;,18;,1;3,56;13,22;-,36;,47;-,29;-,38;18,2;15;2
160;2022;1601;10/4/2022;2;2;11;5;3;2;3;3;1;-,81;223002152647,317;,28;,26;12,15;16,74;-,49;,21;-,4;-,55;22,9;16;4
161;2021;1201;11/24/2021;2;2;5;4;7;3;1;3;2;-,65;217085487224,893;,26;,25;12,1;15,92;-,36;,06;-,3;-,53;18,2;12;2
162;2020;1505;12/30/2020;2;2;6;5;5;3;1;2;1;-,52;191509018299,917;,18;,1;3,56;13,22;-,36;,47;-,29;-,38;18,2;15;3
163;2019;0601;5/16/2019;2;2;6;4;2;2;3;2;2;-,78;224673174862,542;,32;,3;13,15;17,3;-,54;,31;-,5;-,56;27,6;6;1
164;2022;0201;6/2/2022;2;2;4;2;2;3;1;2;2;-,81;223002152647,317;,28;,26;12,15;16,74;-,49;,21;-,4;-,55;22,9;2;4
165;2022;0101;4/6/2022;2;2;8;3;6;2;3;3;1;-,81;223002152647,317;,28;,26;12,15;16,74;-,49;,21;-,4;-,55;22,9;1;5
166;2022;0801;12/7/2022;2;2;6;1;4;2;3;2;1;-,81;223002152647,317;,28;,26;12,15;16,74;-,49;,21;-,4;-,55;22,9;8;1
