Id_caso;año;ubigeo_hecho;fecha_denuncia;desc_delito_generico;desc_delito_subgenerico;desc_delito_especifico;cantidad_partes_involucras;cantidad_x_tipo_parte;codigo_etapa_caso;descripcion_etapa_caso;descripcion_estado_caso;canal_denuncia;CC.EST;NY.GDP.MKTP.KD;NY.GDP.NGAS.RT.ZS;NY.GDP.PETR.RT.ZS;NY.GDP.MINR.RT.ZS;GC.TAX.TOTL.GD.ZS;PV.EST;RQ.EST;GE.EST;RL.EST;delincuencia;Departamento;NSE
66;2024;1002;7/7/2024;2;2;2;1;9;3;1;2;4;-,78;224673174862,542;,32;,3;13,15;17,3;-,54;,31;-,5;-,56;27,6;22;1
67;2024;1005;6/4/2024;2;2;2;1;7;2;3;2;3;-,78;224673174862,542;,32;,3;13,15;17,3;-,54;,31;-,5;-,56;27,6;13;1
68;2024;1001;7/28/2024;2;2;13;1;1;3;1;2;4;-,78;224673174862,542;,32;,3;13,15;17,3;-,54;,31;-,5;-,56;27,6;1;2
69;2023;1005;12/9/2023;2;2;8;5;6;3;1;1;3;-,72;221775234260,737;,3;,28;13,1;17,24;-,52;,29;-,49;-,54;27,1;20;1
70;2022;1002;2/14/2022;1;1;10;1;8;3;1;2;1;-,81;223002152647,317;,28;,26;12,15;16,74;-,49;,21;-,4;-,55;22,9;24;4
71;2022;1004;8/17/2022;2;2;4;5;7;3;1;3;3;-,81;223002152647,317;,28;,26;12,15;16,74;-,49;,21;-,4;-,55;22,9;6;3
72;2022;1003;4/21/2022;2;2;1;2;7;2;3;2;3;-,81;223002152647,317;,28;,26;12,15;16,74;-,49;,21;-,4;-,55;22,9;14;1
73;2023;1004;5/29/2023;2;2;2;2;5;3;1;2;2;-,72;221775234260,737;,3;,28;13,1;17,24;-,52;,29;-,49;-,54;27,1;12;5
74;2023;1005;2/1/2023;2;2;8;1;3;1;2;3;3;-,72;221775234260,737;,3;,28;13,1;17,24;-,52;,29;-,49;-,54;27,1;22;4
75;2021;1003;11/9/2021;2;2;7;2;9;3;1;1;2;-,65;217085487224,893;,26;,25;12,1;15,92;-,36;,06;-,3;-,53;18,2;20;3
76;2023;1002;9/26/2023;1;1;9;4;7;2;3;3;3;-,72;221775234260,737;,3;,28;13,1;17,24;-,52;,29;-,49;-,54;27,1;20;1
77;2021;1001;12/21/2021;1;1;10;4;1;1;2;1;1;-,65;217085487224,893;,26;,25;12,1;15,92;-,36;,06;-,3;-,53;18,2;5;5
78;2022;1004;4/29/2022;2;2;13;3;7;3;1;1;4;-,81;223002152647,317;,28;,26;12,15;16,74;-,49;,21;-,4;-,55;22,9;11;1
79;2020;1005;5/20/2020;2;2;2;2;10;1;2;2;1;-,52;191509018299,917;,18;,1;3,56;13,22;-,36;,47;-,29;-,38;18,2;7;3
80;2021;1003;4/15/2021;1;1;9;1;10;2;3;1;2;-,65;217085487224,893;,26;,25;12,1;15,92;-,36;,06;-,3;-,53;18,2;18;2
81;2023;1003;8/31/2023;1;1;10;2;7;2;3;2;3;-,72;221775234260,737;,3;,28;13,1;17,24;-,52;,29;-,49;-,54;27,1;22;5
82;2020;1001;6/26/2020;2;2;11;5;1;3;1;1;1;-,52;191509018299,917;,18;,1;3,56;13,22;-,36;,47;-,29;-,38;18,2;9;4
83;2024;1001;12/6/2024;2;2;15;5;2;1;2;2;2;-,78;224673174862,542;,32;,3;13,15;17,3;-,54;,31;-,5;-,56;27,6;9;4
84;2020;1002;1/27/2020;2;2;2;5;9;2;3;1;3;-,52;191509018299,917;,18;,1;3,56;13,22;-,36;,47;-,29;-,38;18,2;10;1
85;2023;1002;6/14/2023;2;2;15;4;2;1;2;3;1;-,72;221775234260,737;,3;,28;13,1;17,24;-,52;,29;-,49;-,54;27,1;3;4
86;2021;1005;4/30/2021;2;2;4;1;7;3;1;3;2;-,65;217085487224,893;,26;,25;12,1;15,92;-,36;,06;-,3;-,53;18,2;16;5
87;2024;1001;4/18/2024;2;2;1;1;3;1;2;3;4;-,78;224673174862,542;,32;,3;13,15;17,3;-,54;,31;-,5;-,56;27,6;13;5
88;2022;1001;11/8/2022;2;2;12;4;2;2;3;3;2;-,81;223002152647,317;,28;,26;12,15;16,74;-,49;,21;-,4;-,55;22,9;8;3
89;2022;1004;6/3/2022;2;2;13;1;3;1;2;1;2;-,81;223002152647,317;,28;,26;12,15;16,74;-,49;,21;-,4;-,55;22,9;8;3
90;2024;1004;4/15/2024;2;2;12;5;4;3;1;3;1;-,78;224673174862,542;,32;,3;13,15;17,3;-,54;,31;-,5;-,56;27,6;17;4
91;2024;1004;7/23/2024;2;2;3;4;1;3;1;3;4;-,78;224673174862,542;,32;,3;13,15;17,3;-,54;,31;-,5;-,56;27,6;1;3
92;2021;1001;4/8/2021;2;2;8;5;6;3;1;3;2;-,65;217085487224,893;,26;,25;12,1;15,92;-,36;,06;-,3;-,53;18,2;8;5
93;2024;1003;3/4/2024;2;2;8;4;8;1;2;3;4;-,78;224673174862,542;,32;,3;13,15;17,3;-,54;,31;-,5;-,56;27,6;11;2
94;2020;1004;1/20/2020;2;2;5;1;2;3;1;3;2;-,52;191509018299,917;,18;,1;3,56;13,22;-,36;,47;-,29;-,38;18,2;10;2
95;2020;1002;10/23/2020;1;1;10;3;5;2;3;1;2;-,52;191509018299,917;,18;,1;3,56;13,22;-,36;,47;-,29;-,38;18,2;1;5
96;2022;1004;11/15/2022;2;2;15;3;9;3;1;1;3;-,81;223002152647,317;,28;,26;12,15;16,74;-,49;,21;-,4;-,55;22,9;15;1
97;2023;1002;7/21/2023;2;2;3;2;2;2;3;1;4;-,72;221775234260,737;,3;,28;13,1;17,24;-,52;,29;-,49;-,54;27,1;10;5
98;2023;1002;8/21/2023;2;2;3;5;3;1;2;3;2;-,72;221775234260,737;,3;,28;13,1;17,24;-,52;,29;-,49;-,54;27,1;6;4
99;2022;1005;7/3/2022;2;2;11;3;10;2;3;3;4;-,81;223002152647,317;,28;,26;12,15;16,74;-,49;,21;-,4;-,55;22,9;22;3
100;2021;1004;11/28/2021;2;2;6;2;8;3;1;3;2;-,65;217085487224,893;,26;,25;12,1;15,92;-,36;,06;-,3;-,53;18,2;7;3
101;2024;1002;7/3/2024;2;2;8;5;9;3;1;1;3;-,78;224673174862,542;,32;,3;13,15;17,3;-,54;,31;-,5;-,56;27,6;18;1
102;2024;1002;4/12/2024;2;2;4;5;7;3;1;2;2;-,78;224673174862,542;,32;,3;13,15;17,3;-,54;,31;-,5;-,56;27,6;13;1
103;2021;1002;3/18/2021;2;2;14;5;6;1;2;3;4;-,65;217085487224,893;,26;,25;12,1;15,92;-,36;,06;-,3;-,53;18,2;20;3
104;2024;1001;10/27/2024;2;2;11;5;8;1;2;1;2;-,78;224673174862,542;,32;,3;13,15;17,3;-,54;,31;-,5;-,56;27,6;23;3
105;2022;1005;9/8/2022;2;2;8;5;5;3;1;3;1;-,81;223002152647,317;,28;,26;12,15;16,74;-,49;,21;-,4;-,55;22,9;13;2
106;2020;1002;10/9/2020;2;2;14;4;9;2;3;3;2;-,52;191509018299,917;,18;,1;3,56;13,22;-,36;,47;-,29;-,38;18,2;13;4
107;2021;1001;9/22/2021;2;2;3;1;7;2;3;2;1;-,65;217085487224,893;,26;,25;12,1;15,92;-,36;,06;-,3;-,53;18,2;22;2
108;2020;1001;11/4/2020;2;2;6;1;7;2;3;1;3;-,52;191509018299,917;,18;,1;3,56;13,22;-,36;,47;-,29;-,38;18,2;7;4
109;2023;1002;2/25/2023;2;2;14;3;10;1;2;3;4;-,72;221775234260,737;,3;,28;13,1;17,24;-,52;,29;-,49;-,54;27,1;16;4
110;2024;1005;1/9/2024;1;1;10;2;1;3;1;1;3;-,78;224673174862,542;,32;,3;13,15;17,3;-,54;,31;-,5;-,56;27,6;15;2
111;2023;1001;5/7/2023;2;2;6;1;8;2;3;1;1;-,72;221775234260,737;,3;,28;13,1;17,24;-,52;,29;-,49;-,54;27,1;25;2
112;2021;1002;5/4/2021;2;2;11;4;4;1;2;1;4;-,65;217085487224,893;,26;,25;12,1;15,92;-,36;,06;-,3;-,53;18,2;22;4
113;2023;1004;1/6/2023;2;2;5;2;1;1;2;1;1;-,72;221775234260,737;,3;,28;13,1;17,24;-,52;,29;-,49;-,54;27,1;11;1
114;2023;1002;4/15/2023;2;2;4;3;4;1;2;3;1;-,72;221775234260,737;,3;,28;13,1;17,24;-,52;,29;-,49;-,54;27,1;2;2
115;2024;1001;7/31/2024;2;2;11;2;6;1;2;2;3;-,78;224673174862,542;,32;,3;13,15;17,3;-,54;,31;-,5;-,56;27,6;22;5
116;2024;1002;3/27/2024;2;2;4;5;4;2;3;3;1;-,78;224673174862,542;,32;,3;13,15;17,3;-,54;,31;-,5;-,56;27,6;6;3
117;2021;1003;11/19/2021;2;2;4;4;3;1;2;1;1;-,65;217085487224,893;,26;,25;12,1;15,92;-,36;,06;-,3;-,53;18,2;4;1
118;2021;1002;5/10/2021;2;2;7;5;5;3;1;2;3;-,65;217085487224,893;,26;,25;12,1;15,92;-,36;,06;-,3;-,53;18,2;1;4
119;2020;1003;11/27/2020;2;2;1;1;7;3;1;1;4;-,52;191509018299,917;,18;,1;3,56;13,22;-,36;,47;-,29;-,38;18,2;16;4
120;2022;1004;12/15/2022;2;2;7;5;1;3;1;3;1;-,81;223002152647,317;,28;,26;12,15;16,74;-,49;,21;-,4;-,55;22,9;24;4
121;2022;1004;5/3/2022;1;1;10;4;5;2;3;1;4;-,81;223002152647,317;,28;,26;12,15;16,74;-,49;,21;-,4;-,55;22,9;23;4
122;2021;1005;7/12/2021;2;2;5;5;3;1;2;1;1;-,65;217085487224,893;,26;,25;12,1;15,92;-,36;,06;-,3;-,53;18,2;6;4
123;2024;1001;10/16/2024;2;2;4;1;9;2;3;3;2;-,78;224673174862,542;,32;,3;13,15;17,3;-,54;,31;-,5;-,56;27,6;3;4
124;2023;1003;1/30/2023;2;2;13;4;10;2;3;1;1;-,72;221775234260,737;,3;,28;13,1;17,24;-,52;,29;-,49;-,54;27,1;11;2
125;2021;1001;3/20/2021;2;2;15;5;5;1;2;1;4;-,65;217085487224,893;,26;,25;12,1;15,92;-,36;,06;-,3;-,53;18,2;18;1
126;2022;1004;5/18/2022;2;2;5;3;1;3;1;2;3;-,81;223002152647,317;,28;,26;12,15;16,74;-,49;,21;-,4;-,55;22,9;8;3
127;2020;1004;4/28/2020;2;2;4;3;1;2;3;3;3;-,52;191509018299,917;,18;,1;3,56;13,22;-,36;,47;-,29;-,38;18,2;24;2
128;2023;1001;4/16/2023;2;2;8;4;3;2;3;3;3;-,72;221775234260,737;,3;,28;13,1;17,24;-,52;,29;-,49;-,54;27,1;10;5
129;2021;1003;12/25/2021;2;2;5;5;1;3;1;3;1;-,65;217085487224,893;,26;,25;12,1;15,92;-,36;,06;-,3;-,53;18,2;9;5
130;2023;1001;1/30/2023;2;2;14;2;8;3;1;3;1;-,72;221775234260,737;,3;,28;13,1;17,24;-,52;,29;-,49;-,54;27,1;13;4
131;2024;1002;5/29/2024;2;2;3;5;4;1;2;1;2;-,78;224673174862,542;,32;,3;13,15;17,3;-,54;,31;-,5;-,56;27,6;14;2
132;2021;1001;2/18/2021;1;1;9;5;1;1;2;1;1;-,65;217085487224,893;,26;,25;12,1;15,92;-,36;,06;-,3;-,53;18,2;6;2
133;2021;1001;6/10/2021;2;2;15;4;2;3;1;2;4;-,65;217085487224,893;,26;,25;12,1;15,92;-,36;,06;-,3;-,53;18,2;4;2
134;2022;1001;9/3/2022;2;2;7;4;2;1;2;3;4;-,81;223002152647,317;,28;,26;12,15;16,74;-,49;,21;-,4;-,55;22,9;9;3
135;2024;1002;6/2/2024;2;2;12;1;7;3;1;1;1;-,78;224673174862,542;,32;,3;13,15;17,3;-,54;,31;-,5;-,56;27,6;15;2
136;2022;1003;7/6/2022;2;2;8;5;5;1;2;2;1;-,81;223002152647,317;,28;,26;12,15;16,74;-,49;,21;-,4;-,55;22,9;4;4
137;2023;1003;6/24/2023;2;2;13;1;5;3;1;3;4;-,72;221775234260,737;,3;,28;13,1;17,24;-,52;,29;-,49;-,54;27,1;15;5
138;2020;1002;9/9/2020;2;2;14;3;7;3;1;2;4;-,52;191509018299,917;,18;,1;3,56;13,22;-,36;,47;-,29;-,38;18,2;7;3
139;2024;1001;7/24/2024;2;2;8;3;5;1;2;1;2;-,78;224673174862,542;,32;,3;13,15;17,3;-,54;,31;-,5;-,56;27,6;22;3
140;2024;1002;2/16/2024;2;2;8;4;8;2;3;2;4;-,78;224673174862,542;,32;,3;13,15;17,3;-,54;,31;-,5;-,56;27,6;13;4
141;2023;1004;4/15/2023;2;2;5;5;2;3;1;1;2;-,72;221775234260,737;,3;,28;13,1;17,24;-,52;,29;-,49;-,54;27,1;24;1
142;2020;1002;5/30/2020;2;2;15;4;8;3;1;1;4;-,52;191509018299,917;,18;,1;3,56;13,22;-,36;,47;-,29;-,38;18,2;19;2
143;2021;1001;1/19/2021;1;1;10;4;10;2;3;1;4;-,65;217085487224,893;,26;,25;12,1;15,92;-,36;,06;-,3;-,53;18,2;6;2
144;2023;1001;10/12/2023;2;2;3;5;10;1;2;3;4;-,72;221775234260,737;,3;,28;13,1;17,24;-,52;,29;-,49;-,54;27,1;3;3
145;2023;1003;4/27/2023;2;2;6;5;1;2;3;3;1;-,72;221775234260,737;,3;,28;13,1;17,24;-,52;,29;-,49;-,54;27,1;9;1
146;2024;1002;2/2/2024;2;2;2;3;10;3;1;1;4;-,78;224673174862,542;,32;,3;13,15;17,3;-,54;,31;-,5;-,56;27,6;5;3
147;2024;1004;2/23/2024;2;2;8;2;4;2;3;3;2;-,78;224673174862,542;,32;,3;13,15;17,3;-,54;,31;-,5;-,56;27,6;18;4
148;2021;1002;4/17/2021;2;2;5;2;2;2;3;3;2;-,65;217085487224,893;,26;,25;12,1;15,92;-,36;,06;-,3;-,53;18,2;20;4
149;2023;1004;3/6/2023;2;2;13;1;4;2;3;3;2;-,72;221775234260,737;,3;,28;13,1;17,24;-,52;,29;-,49;-,54;27,1;6;1
150;2024;1005;10/2/2024;1;1;10;5;8;2;3;2;4;-,78;224673174862,542;,32;,3;13,15;17,3;-,54;,31;-,5;-,56;27,6;21;4
151;2020;1005;7/2/2020;2;2;2;3;8;3;1;1;2;-,52;191509018299,917;,18;,1;3,56;13,22;-,36;,47;-,29;-,38;18,2;16;4
152;2023;1004;2/28/2023;2;2;11;5;2;3;1;3;4;-,72;221775234260,737;,3;,28;13,1;17,24;-,52;,29;-,49;-,54;27,1;6;4
153;2024;1002;1/7/2024;1;1;10;1;4;1;2;2;1;-,78;224673174862,542;,32;,3;13,15;17,3;-,54;,31;-,5;-,56;27,6;10;5
154;2022;1001;11/30/2022;2;2;2;3;1;3;1;1;2;-,81;223002152647,317;,28;,26;12,15;16,74;-,49;,21;-,4;-,55;22,9;21;2
155;2024;1004;4/1/2024;2;2;6;1;5;3;1;2;1;-,78;224673174862,542;,32;,3;13,15;17,3;-,54;,31;-,5;-,56;27,6;21;3
156;2022;1005;7/9/2022;2;2;7;4;7;1;2;2;4;-,81;223002152647,317;,28;,26;12,15;16,74;-,49;,21;-,4;-,55;22,9;24;4
157;2022;1004;8/18/2022;2;2;11;1;3;1;2;2;2;-,81;223002152647,317;,28;,26;12,15;16,74;-,49;,21;-,4;-,55;22,9;22;3
158;2022;1005;5/27/2022;1;1;10;2;3;2;3;2;2;-,81;223002152647,317;,28;,26;12,15;16,74;-,49;,21;-,4;-,55;22,9;5;1
159;2020;1005;7/30/2020;2;2;12;2;2;1;2;3;3;-,52;191509018299,917;,18;,1;3,56;13,22;-,36;,47;-,29;-,38;18,2;15;2
160;2022;1005;10/4/2022;2;2;11;5;3;2;3;3;1;-,81;223002152647,317;,28;,26;12,15;16,74;-,49;,21;-,4;-,55;22,9;16;4
161;2021;1001;11/24/2021;2;2;5;4;7;3;1;3;2;-,65;217085487224,893;,26;,25;12,1;15,92;-,36;,06;-,3;-,53;18,2;12;2
162;2020;1001;12/30/2020;2;2;6;5;5;3;1;2;1;-,52;191509018299,917;,18;,1;3,56;13,22;-,36;,47;-,29;-,38;18,2;15;3
163;2024;1005;5/16/2024;2;2;6;4;2;2;3;2;2;-,78;224673174862,542;,32;,3;13,15;17,3;-,54;,31;-,5;-,56;27,6;6;1
164;2022;1003;6/2/2022;2;2;4;2;2;3;1;2;2;-,81;223002152647,317;,28;,26;12,15;16,74;-,49;,21;-,4;-,55;22,9;2;4
165;2022;1004;4/6/2022;2;2;8;3;6;2;3;3;1;-,81;223002152647,317;,28;,26;12,15;16,74;-,49;,21;-,4;-,55;22,9;1;5
166;2022;1005;12/7/2022;2;2;6;1;4;2;3;2;1;-,81;223002152647,317;,28;,26;12,15;16,74;-,49;,21;-,4;-,55;22,9;8;1
